PERMNO,date,SICCD,TICKER,COMNAM,NAICS,PRC,VOL,RET,SHROUT,vwretd,ewretd,sprtrn
14593,20120131,3571,AAPL,APPLE INC,334111,456.48001,2529489,0.127111,932370,0.054140,0.085342,0.043583
14593,20120229,3571,AAPL,APPLE INC,334111,542.44000,4208016,0.188311,932370,0.041253,0.036494,0.040589
14593,20120330,3571,AAPL,APPLE INC,334111,599.54999,5751713,0.105284,934982,0.024039,0.017608,0.031332
14593,20120430,3571,AAPL,APPLE INC,334111,583.97998,5815315,-0.025969,935062,-0.006840,-0.009106,-0.007497
14593,20120531,3571,AAPL,APPLE INC,334111,577.72998,4145678,-0.010702,935062,-0.065641,-0.068418,-0.062651
14593,20120629,3571,AAPL,APPLE INC,334111,584.00000,2927706,0.010853,937266,0.038181,0.034188,0.039555
14593,20120731,3571,AAPL,APPLE INC,334111,610.76001,3336045,0.045822,937406,0.010306,-0.003281,0.012598
14593,20120831,3571,AAPL,APPLE INC,334111,665.23999,3104998,0.093539,937406,0.026336,0.024819,0.019763
14593,20120928,3571,AAPL,APPLE INC,334111,667.10498,3438905,0.002803,939208,0.026532,0.034925,0.024236
14593,20121031,3571,AAPL,APPLE INC,334111,595.32001,4539999,-0.107607,940692,-0.014064,-0.013477,-0.019789
14593,20121130,3571,AAPL,APPLE INC,334111,585.28003,4629601,-0.012413,940692,0.006219,0.002790,0.002847
14593,20121231,3571,AAPL,APPLE INC,334111,532.17291,4472556,-0.090738,938973,0.012580,0.021872,0.007068
14593,20130131,3571,AAPL,APPLE INC,334111,455.48999,4864029,-0.144094,939058,0.054189,0.063509,0.050428
14593,20130228,3571,AAPL,APPLE INC,334111,441.39999,3474204,-0.025116,939058,0.008284,0.003491,0.011061
14593,20130328,3571,AAPL,APPLE INC,334111,442.66000,3418252,0.002855,940094,0.035320,0.031419,0.035988
14593,20130430,3571,AAPL,APPLE INC,334111,442.78000,4103155,0.000271,938649,0.014942,0.002477,0.018086
14593,20130531,3571,AAPL,APPLE INC,334111,449.73499,3507527,0.022596,938649,0.019155,0.023985,0.020763
14593,20130628,3571,AAPL,APPLE INC,334111,396.53000,2611351,-0.118303,908442,-0.015071,-0.013012,-0.014999
14593,20130731,3571,AAPL,APPLE INC,334111,452.53000,2431461,0.141225,908497,0.052690,0.054898,0.049462
14593,20130830,3571,AAPL,APPLE INC,334111,487.21600,2997612,0.083389,908497,-0.025761,-0.017278,-0.031298
14593,20130930,3571,AAPL,APPLE INC,334111,476.75000,3214144,-0.021481,899213,0.037514,0.051828,0.029749
14593,20131031,3571,AAPL,APPLE INC,334111,522.70203,2948696,0.096386,899738,0.039908,0.025762,0.044596
14593,20131129,3571,AAPL,APPLE INC,334111,556.07001,1952387,0.069673,899738,0.024973,0.023398,0.028049
14593,20131231,3571,AAPL,APPLE INC,334111,561.02002,2547642,0.008902,892447,0.026159,0.025240,0.023563
14593,20140131,3571,AAPL,APPLE INC,334111,500.60001,3188098,-0.107697,891989,-0.030047,-0.001282,-0.035583
14593,20140228,3571,AAPL,APPLE INC,334111,526.23999,2111318,0.057311,891989,0.046225,0.044257,0.043117
14593,20140331,3571,AAPL,APPLE INC,334111,536.73999,1794860,0.019953,861745,0.004544,0.001028,0.006932
14593,20140430,3571,AAPL,APPLE INC,334111,590.09003,2299269,0.099396,861381,0.001569,-0.022319,0.006201
